activity.type,activity.name,origin,destination,origin.country,hotel.nights,meals,bustrain.distance,car.distance,car.sharing,flying
course,Introduction to Stock Assessment,Bergen,Copenhagen,Norway,5,16,0,0,0,1
course,Introduction to Stock Assessment,Goteborg,Copenhagen,Sweden,5,16,300,0,0,0
course,Introduction to Stock Assessment,Copenhagen,Copenhagen,Denmark,5,16,0,0,0,0
course,Introduction to Stock Assessment,Aberdeen,Copenhagen,UK,5,16,0,0,0,1
course,Introduction to Stock Assessment,Lowestoft,Copenhagen,UK,5,16,0,0,0,1
course,Introduction to Stock Assessment,Galway,Copenhagen,Ireland,5,16,0,0,0,1
course,Introduction to Stock Assessment,Texel,Copenhagen,Netherlands,0,0,0,0,0,1
course,Introduction to Stock Assessment,Brest,Copenhagen,France,0,0,0,0,0,1
course,Introduction to Stock Assessment,Helsinki,Copenhagen,Finland,0,0,0,0,0,1
course,Introduction to Stock Assessment,Murmansk,Copenhagen,Russia,0,0,0,0,0,1
course,Introduction to Stock Assessment,Vladivostok,Copenhagen,Russia,0,0,0,0,0,1
course,Introduction to Stock Assessment,Tallinn,Copenhagen,Estonia,0,0,0,0,0,1
course,Introduction to Stock Assessment,Nantes,Copenhagen,France,0,0,0,0,0,1
course,Introduction to Stock Assessment,Gdynia,Copenhagen,Poland,0,0,0,0,0,1
course,Introduction to Stock Assessment,Santander,Copenhagen,Spain,0,0,0,0,0,1
course,Introduction to Stock Assessment,Vigo,Copenhagen,Spain,6,18,0,0,0,1
course,Introduction to Stock Assessment,Porto,Copenhagen,Portugal,6,18,0,0,0,1
course,Introduction to Stock Assessment,Mont-Joli,Copenhagen,Canada,6,18,0,0,0,1
course,Introduction to Stock Assessment,Copenhagen,Copenhagen,Denmark,6,18,0,0,0,0
course,Introduction to Stock Assessment,Hamburg,Copenhagen,Germany,6,18,0,0,0,1
course,Introduction to Stock Assessment,Kiel,Copenhagen,Germany,6,18,0,0,0,1
course,Introduction to Stock Assessment,Riga,Copenhagen,Latvia,5,16,0,0,0,1
course,Introduction to Stock Assessment,Falmouth,Copenhagen,USA,5,16,0,0,0,1
course,Introduction to Stock Assessment,Miami,Copenhagen,USA,5,16,0,0,0,1
course,Introduction to Stock Assessment,Concepcion,Copenhagen,Chile,6,18,0,0,0,1
course,Introduction to Stock Assessment,Saint John's,Copenhagen,Canada,6,18,0,0,0,1
course,Hydroacoustics,Nuuk,Bergen,Greenland,6,18,0,0,0,1
