fiscal.year,date,activity.type,activity.name,participant.region,origin,destination,origin.country,hotel.nights,meals,bustrain.distance,car.distance,car.sharing,flying
'19/20,2019,online course,Rtools,PAC,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,C&A,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,QUE,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,GULF,Ottawa,Ottawa,Canada,0,0,0,0,0,0
