,Charlottetown,CornerBrook,Fredericton,Halifax,Moncton,MontJoli,Nanaimo,Ottawa,Quebec,SaultSteMarie,StAndrews,StJohns,Burlington,Vancouver,Victoria,Winnipeg,online
Charlottetown,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
CornerBrook,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Fredericton,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Halifax,NA,NA,NA,0,187,1323,4454,960,NA,NA,191,897,NA,4444,NA,2580,0
Moncton,NA,NA,NA,187,0,563,4330,848,NA,NA,134,932,NA,4271,NA,2424,0
MontJoli,NA,NA,NA,1323,563,0,3982,669,NA,NA,402,2140,NA,3923,NA,2094,0
Nanaimo,NA,NA,NA,4454,4330,3982,0,3600,NA,NA,4284,5063,NA,60,NA,1925,0
Ottawa,NA,NA,NA,960,848,669,3600,0,NA,NA,752,1769,NA,3539,NA,1040,0
Quebec,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
SaultSteMarie,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
StAndrews,NA,NA,NA,191,134,402,4284,752,NA,NA,0,1105,NA,4224,NA,2368,0
StJohns,NA,NA,NA,897,932,2140,5063,1769,NA,NA,1105,0,NA,5006,NA,3221,0
Burlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
Vancouver,NA,NA,NA,4444,4271,3923,60,3539,NA,NA,4224,5006,NA,0,NA,1864,0
Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1903,0
Winnipeg,NA,NA,NA,2580,2424,2094,1925,1040,NA,NA,2368,3221,NA,1864,1903,0,0
online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
